source,target,maxspeed,osmid,length,name,oneway
479183169,479184232,0,609308106,98.562,Rua do Professor José Valente,False
1352646988,1352647001,0,29036519,18.726999999999997,Avenida de Fernão de Magalhães,True
1352646988,1352647004,0,120692682,32.921,Rua de Contumil,True
297369936,431647309,0,37112934,66.285,NONE,True
297369936,2169195547,0,240884742,85.671,Rua da Telheira,False
4751573331,560401022,0,44093328,134.57899999999998,Rua do Conselheiro Correia de Barros,False
1352646998,130075593,0,13860800,43.033,NONE,True
1352646998,130075590,0,536714314,43.302,Avenida de Fernão de Magalhães,True
1352646999,1594780111,0,30911269,93.05799999999999,Rua Padre Manuel da Nóbrega,True
1352646999,299610558,0,549444984,51.997,Avenida de Fernão de Magalhães,True
789692760,3570149423,0,37856969,96.509,Rua João Corregedor da Fonseca,False
789692760,789830274,0,161123922,42.584,Travessa Nova de Currais,False
789692760,789695386,0,161123922,137.191,Travessa Nova de Currais,False
1352647001,1352647004,0,228657550,32.272,Rua de Contumil,True
1352647001,5307690019,0,549454264,105.49300000000001,Avenida de Fernão de Magalhães,True
297369946,2486710642,0,351525777,107.434,NONE,False
297369946,1187411650,0,351525777,87.57300000000001,NONE,False
1352647002,412525204,0,"[252543336, 34885153]",203.295,Túnel das Antas I,True
1352647002,1352646999,0,"[549444985, 482324642]",104.564,Avenida de Fernão de Magalhães,True
1352647004,299579766,0,118148373,72.92099999999999,Rua de Contumil,True
335561055,129953504,0,128246660,65.70400000000001,Rua de Aníbal Cunha,True
1352647011,1352647002,0,549444986,16.541,Avenida de Fernão de Magalhães,True
335561064,335561055,0,30405504,147.432,Rua da Igreja de Cedofeita,True
335561064,137982795,0,434879924,32.406,Rua de Cedofeita,True
480346473,480346202,0,39979759,24.948,Rua 13,False
480346473,480346285,0,39979759,19.197,Rua 13,False
480346473,1105954954,0,39979765,55.018,Rua 10,False
1352647022,1352647030,0,480146199,16.39,Avenida de Fernão de Magalhães,True
1352647025,299592374,0,27290191,66.067,Rua das Mercês,True
1352647025,1352663634,0,"[549454258, 120692683]",122.257,Avenida de Fernão de Magalhães,False
1352647025,5307690019,0,549454260,77.84100000000001,Avenida de Fernão de Magalhães,False
1352647028,1352647049,0,"[549269426, 549269427]",49.235,Avenida de Fernão de Magalhães,True
299614580,1309301158,0,41738588,89.958,Calçada da Póvoa,True
299614580,138194473,0,482327707,242.77299999999997,Rua Aires de Ornelas,True
1352647030,130075590,0,304690307,13.896999999999998,NONE,True
1352647030,1352646988,0,"[480146195, 480146196]",47.998000000000005,Avenida de Fernão de Magalhães,True
501252472,280197437,0,34653072,110.161,Rua de Fonseca Cardoso,True
501252472,1209790928,0,13836474,69.45100000000001,Rua das Musas,True
501252472,501252476,0,452073000,36.582,Rua das Musas,True
479183225,311889489,0,224646232,60.676,Rua do Campo Alegre,False
479183225,311889376,0,224646232,132.464,Rua do Campo Alegre,False
501252476,501252606,0,41097758,35.447,Calçada do Leal,False
501252476,4488733049,0,452073000,13.803,Rua das Musas,True
1352647036,122452407,0,304690306,101.809,Rua de Carlos Malheiro Dias,False
1352647036,4751729004,0,13268415,33.655,Rua de Carlos Malheiro Dias,True
311886214,2334451788,0,224645847,74.26,Rua de Henrique Lopes de Mendonça,False
311886214,311888684,0,28589553,44.902,Rua de Henrique Lopes de Mendonça,False
311886215,311886214,0,464734850,32.895,Rua de Henrique Lopes de Mendonça,True
311886215,311888682,0,40643208,22.559,Rua de Henrique Lopes de Mendonça,True
444023177,343646668,0,30912867,90.63300000000001,Travessa de Álvaro Castelões,True
444023177,1548540063,0,"[141475042, 37856707, 141475043]",144.36999999999998,Rua do Alto,False
1352647049,1352663646,0,549269428,24.041,Avenida de Fernão de Magalhães,True
1352647049,1352663630,0,120693467,25.207,Avenida de Fernão de Magalhães,True
478863896,297880608,0,39895304,108.13600000000001,Rua da Pena,True
478863896,1594649037,0,"[128362570, 39895274, 481849357, 480494958, 481849358]",473.12500000000006,"['Rua da Pena', 'Travessa do Gólgota', 'Rua da Boa Viagem']",False
1548075405,1548076001,0,141434657,97.783,Rua 8,False
1548075405,1548074702,0,141435262,82.118,Travessa de Bonjóia,False
1548075405,1548075978,0,141435262,133.65500000000003,Travessa de Bonjóia,False
1352647054,4473312689,0,549269428,3.401,Avenida de Fernão de Magalhães,True
1352647054,299611387,0,27292930,89.003,Praça Doutor Francisco Sá Carneiro,True
480346512,4773520967,0,252517529,9.158,Rua 1,False
480346512,480346408,0,39979774,115.88199999999999,Rua 3,False
480346512,479522370,0,252517529,102.09700000000001,Rua 1,False
444023185,1223751803,0,30911278,110.5,Rua Doutor Carteado Mena,True
444023185,299574281,0,434879925,8.4,Rua de Costa Cabral,False
444023185,299574280,0,434879925,185.921,Rua de Costa Cabral,False
501252500,501252596,0,452072994,43.398,Travessa do Leal,False
501252500,129552044,0,452073000,65.669,Rua das Musas,True
1548075413,1097394676,0,141435133,76.60700000000001,NONE,False
1548075421,3846229923,50,98835973,17.675,Rua das Areias,False
1548075421,1548074399,50,98835973,191.837,Rua das Areias,False
1548075421,1548074455,0,447242477,104.784,Travessa de Furamontes,False
2135998880,138233991,0,31573135,11.422,Rua de Augusto Rosa,True
111428003,111503635,0,12302717,39.324,Esplanada do Rio de Janeiro,True
111428003,111428008,0,434897746,44.977,Praça Gonçalves Zarco,True
111428008,111428028,0,"[12294186, 434896887]",191.86499999999998,Praça Gonçalves Zarco,True
3891282347,475413943,0,"[385795771, 385795772, 39658943]",92.91999999999999,Rua de António Pedro,False
3149005232,510745676,0,176943863,105.719,Rua de O Primeiro de Janeiro,True
3149005233,126554316,0,153804358,36.559,Rua Orfeão do Porto,False
3149005233,3149005236,0,153804358,79.52,Rua Orfeão do Porto,False
3149005233,3149005235,0,309557721,76.85900000000001,NONE,False
3149005235,3149005233,0,309557721,76.85900000000001,NONE,False
3149005236,1664454451,0,153804358,44.045,Rua Orfeão do Porto,False
3149005236,3149005233,0,153804358,79.52000000000001,Rua Orfeão do Porto,False
3149005236,3149005238,0,309557722,74.212,NONE,False
3149005238,3149005236,0,309557722,74.212,NONE,False
4554424759,4468690331,0,608418574,63.354,Praça Mouzinho de Albuquerque,True
501252536,129552044,0,38336641,25.912,Rua do Bonjardim,True
501252536,501252596,0,"[41097754, 452072994]",174.748,"['Travessa do Leal', 'Travessa das Musas']",False
4554424762,1788788089,0,459643670,150.758,Rua Ofélia Diogo da Costa,True
4554424762,2572799251,0,"[705491645, 705491647]",127.84199999999998,Avenida da Boavista,True
1548075452,4573702128,0,461937910,32.521,Beco do Monte da Bela,False
1548075452,1548075153,0,"[448832530, 103847407]",62.809,"['Rua Monte da Bela', 'Rua 5']",False
1548075452,1198805226,0,103847407,165.64600000000002,Rua Monte da Bela,False
3149005245,428214920,0,309557724,46.153999999999996,Rua Alfredo Nunes de Matos,False
4751327677,128655671,0,35447220,201.70899999999997,Rua do Amparo,True
4751327677,2202026257,0,35731564,73.697,Praça das Flores,True
3149005247,3149005251,0,309557725,153.58800000000002,Rua de João Baptista Lavanha,False
3149005247,3149005246,0,309557725,20.106,Rua de João Baptista Lavanha,False
3149005247,4753793616,0,446760007,26.597,NONE,False
3149005246,3149005247,0,309557725,20.106,Rua de João Baptista Lavanha,False
3149005246,4753793616,0,734260454,35.444,Rua de Paulo da Gama,False
3149005246,479512746,0,734260454,11.544,Rua de Paulo da Gama,False
111428028,1249809161,0,12294186,45.223,Praça Gonçalves Zarco,True
111428028,111429621,0,13275275,44.98,Avenida de Montevideu,True
3149005251,3149005247,0,309557725,153.58800000000002,Rua de João Baptista Lavanha,False
3149005252,3149005253,0,309557726,10.496,Rua Alegre,False
3149005252,480486049,0,39991527,20.051000000000002,Rua do Padre Luís Cabral,True
3149005253,3149005252,0,309557726,10.496,Rua Alegre,False
3149005257,480476967,0,309557728,48.806,Rua Alegre,False
1887601114,1887601133,0,178413104,65.019,Rua da Cooperativa do Povo Portuense,False
1887601114,501225766,0,452073004,33.504,Rua das Musas,False
1887601114,129552512,0,452073004,26.025,Rua das Musas,False
475054556,1417675673,0,39632140,171.76,Rua de Santa Isabel,True
475054556,335560768,0,30405489,44.586999999999996,Rua Joaquim de Vasconcelos,True
1887601133,1887601114,0,178413104,65.019,Rua da Cooperativa do Povo Portuense,False
1887601134,25632454,0,38336634,66.289,Rua de Gonçalo Cristóvão,True
1471136241,1110673569,0,133659510,16.525,Rua do Professor Agostinho da Silva,False
1471136241,126604783,0,453834045,389.709,Rua do Engenheiro Nuno de Meireles,False
501252596,501252500,0,452072994,43.398,Travessa do Leal,False
501252596,501252606,0,41097755,41.838,Calçada do Leal,False
501252596,501252536,0,"[452072994, 41097754]",174.74800000000002,"['Travessa das Musas', 'Travessa do Leal']",False
501252606,501252476,0,41097758,35.447,Calçada do Leal,False
501252606,501252622,0,41097758,26.502,Calçada do Leal,False
501252606,501252596,0,41097755,41.838,Calçada do Leal,False
1684865542,2250794621,0,"[13801323, 13801868]",25.401,"['Rua de Dom Manuel II', 'Rua de Alberto Aires de Gouveia']",True
1684865542,1874214575,50,386286210,105.645,Rua de Dom Manuel II,False
2940944907,1110698267,0,738994727,35.937,Rua de Gonçalo Cristóvão,True
501252622,501252606,0,41097758,26.502,Calçada do Leal,False
479183377,479183169,0,609306715,35.346,Travessa de Entre Campos,False
6249234969,1352663655,0,549444947,69.556,Avenida de Fernão de Magalhães,True
6249234969,1334148418,0,667433342,30.337,NONE,True
5297832488,1264279491,0,"[115547979, 40769511, 28590927]",345.33,Rua de Correia de Sá,True
1108247085,1788787180,0,40859294,9.463,Rua do Padre Luís d'Almeida,False
1108247085,497171025,0,40859294,91.628,Rua do Padre Luís d'Almeida,False
1108247085,1108123590,0,549352900,63.536,Rua Diogo do Couto,True
335561262,335561263,0,30405528,117.631,Rua de Rodrigues Lobo,False
335561263,335561262,0,30405528,117.631,Rua de Rodrigues Lobo,False
335561263,1788786433,0,167487371,27.494999999999997,Rua de Júlio Dinis,True
5297832506,3605258295,0,41018361,50.566,Rua do Douro,True
5297832506,501142402,0,293779033,39.849,Rua da Maia,False
1108247111,479184362,0,39911806,36.147,Rua Professor Abílio Cardoso,False
1108247111,479184251,0,95841140,33.047,NONE,False
1108247111,479184346,0,39911806,63.315000000000005,Rua Professor Abílio Cardoso,False
1108247111,129786479,0,95841140,34.092,NONE,False
1108247113,479435897,0,39931643,15.515,Calçada João do Carmo,False
1108247113,4505062034,0,453823645,27.003,Rua do Ouro,False
1108247113,479435872,0,"[484608229, 453823645]",152.734,"['Rua do Senhor da Boa Morte', 'Rua do Ouro']",False
