source,target,maxspeed,oneway,name,length
2466943132,1684843635,50,False,NONE,56.98
2268205236,2489384184,0,False,NONE,58.082
2268205236,2489384192,0,False,NONE,21.7
2268205236,2489384215,0,False,NONE,81.152
2246086926,1386051845,50,True,Praça Dona Filipa de Lencastre,55.697
2246086928,25620737,50,True,Rua do Almada,33.325
2246086928,2246086926,0,True,NONE,25.149
2273284449,475568688,0,True,Largo do Viriato,33.839999999999996
2273284449,475568776,0,True,Largo do Viriato,66.30600000000001
2255786343,2213037950,0,False,Escada Recanto,21.883999999999997
3695776123,25632398,0,True,Rua da Firmeza,44.944
3695776123,3695777927,0,False,NONE,36.876999999999995
5476716943,2245345711,0,False,Rua de Sampaio Bruno,12.652
5476716943,2204099951,0,False,Rua de Sampaio Bruno,5.657
5476716943,3993126224,0,False,Rua do Bonjardim,99.393
5476716945,129553667,0,True,Rua de Santa Catarina,8.679
5476716945,5320167752,0,False,NONE,3.071
5476716945,5320167753,0,False,NONE,2.673
1419645372,1419645378,0,True,Travessa da Carvalhosa,107.851
1419645372,1419645377,0,False,Viela da Carvalhosa,83.988
1419645377,1419645372,0,False,Viela da Carvalhosa,83.988
1419645378,137982795,0,True,Rua Sacadura Cabral,42.734
111481288,2356350502,0,True,Rua de São João,128.326
111481288,3392710689,0,False,Rua Clube Fluvial Portuense,34.681
111481288,2211299275,0,True,"['Tomaz do Douro', 'Rua de São João']",95.805
111481288,2080756633,0,True,Rua do Infante Dom Henrique,79.424
138220017,138220019,50,True,Rua das Carmelitas,65.57
138220017,138220134,0,True,Rua de Cândido dos Reis,162.921
138220019,7134805730,50,True,Rua das Carmelitas,28.66
138220019,2246222549,50,True,Rua da Galeria de Paris,137.674
3688665649,3688675383,0,True,NONE,3.292
3385332308,4559387634,50,False,Avenida Gustavo Eiffel,459.204
3385332308,4205377889,0,False,NONE,54.072
6550884952,6550884953,0,False,NONE,8.37
6550884952,6545541675,0,False,NONE,12.53
6550884952,6545541675,0,False,NONE,13.055
5054992986,25620653,0,True,Praça da República,7.416
5054992986,1110698299,0,False,NONE,15.024000000000001
6550884953,4554489448,0,False,Viela do Anjo,7.051
6550884953,475877057,0,False,Viela do Anjo,11.681
6550884953,6550884952,0,False,NONE,8.37
3385332316,2299608908,0,False,NONE,4.591
6550884964,6550884965,0,False,NONE,45.400999999999996
6550884965,3993126224,50,True,Rua do Doutor Magalhães Lemos,12.765
6550884965,6550884964,0,False,NONE,45.400999999999996
138220134,25620948,0,True,Rua da Fábrica,33.275
3385332336,138241053,50,True,Praça da Alegria,78.299
3385332336,2299637282,0,False,Ilha,60.466
3385332338,4610770358,0,False,NONE,14.789
3385332338,2300698630,0,False,NONE,4.502
3385332338,2300698551,0,False,NONE,6.24
4199223989,3392710685,50,False,Rua de Mouzinho da Silveira,25.649
4199223989,2207418932,50,True,Rua de Mouzinho da Silveira,17.57
2300973756,4608414352,0,False,Passeio das Fontainhas,4.189
111481561,3392710685,50,False,Rua de Mouzinho da Silveira,29.258
111481561,4529131591,50,False,Rua de Mouzinho da Silveira,6.772
4612022468,4612022452,0,False,NONE,66.044
4529953494,129553875,0,True,Rua da Alegria,10.848
4529953494,4529953495,0,False,NONE,3.076
4529953494,2375801679,0,False,NONE,3.24
2216334119,4559198603,0,False,NONE,15.705
2216334119,4559141799,0,False,NONE,70.919
2216334119,4559198606,0,False,NONE,31.476000000000003
2216334119,4559181419,0,False,NONE,17.965
2216334178,4559289602,0,False,NONE,14.604
2216334178,4559324711,0,False,Rua do Bairro das Fontaínhas,31.166
2216334178,4559198603,0,False,Rua do Bairro das Fontaínhas,41.588
475796332,286969310,0,True,Rua de Trás,69.37
475796332,475796338,0,False,Travessa dos Caldeireiros,43.111
475796338,138223440,0,True,Rua dos Caldeireiros,57.206
475796338,475796332,0,False,Travessa dos Caldeireiros,43.111
2218529670,2218529690,0,True,NONE,25.957
3098121112,1554886175,0,True,Rua do Carmo,8.285
3098121112,2383318850,0,False,NONE,53.711000000000006
3098121112,6537301918,0,False,NONE,10.993
2978059162,2978059160,0,True,NONE,5.3389999999999995
2978059161,2829209747,0,True,Rua de Fernandes Tomás,59.769
2978059161,2978059158,0,True,NONE,5.301
3098121116,128680158,0,True,Rua da Restauração,10.661
3098121116,7134786652,0,False,NONE,42.263
3098121116,6537250871,0,False,NONE,18.185
2978059160,2978059161,0,True,Rua de Fernandes Tomás,2.732
2218529690,2222190625,50,True,Rua das Fontainhas,151.076
3098121120,6537250872,0,False,Rua Professor Vicente José de Carvalho,63.197
3098121120,1554886175,0,False,Rua Professor Vicente José de Carvalho,11.147
3098121120,6537301918,0,False,NONE,6.824
3098121120,6537301917,0,False,NONE,7.031
5576758241,25632425,0,True,Rua da Alegria,117.945
5576758241,5576758242,0,False,NONE,10.936
5576758242,5576758243,0,False,NONE,21.003
5576758242,5576758241,0,False,NONE,10.936
5576758242,5576758247,0,False,NONE,43.370999999999995
5576758243,5576758242,0,False,NONE,21.003
5576758244,5576758247,0,False,NONE,44.825
5576758247,5576758244,0,False,NONE,44.825
5576758247,5576758242,0,False,NONE,43.370999999999995
5576758247,5576758257,0,False,NONE,61.102999999999994
4529953538,129553667,0,True,Rua de Passos Manuel,4.236
4529953538,2335432905,0,False,NONE,4.075
4529953538,3891282330,0,False,NONE,3.351
5576758257,5576758247,0,False,NONE,61.102999999999994
111481848,4529131597,50,True,Rua de Ferreira Borges,5.984
111481848,4529131602,50,True,Rua da Bolsa,10.301
111481848,4529131595,50,False,Rua da Bolsa,7.334999999999999
4529953544,1684844136,0,False,NONE,4.261
2204210203,1390263696,0,True,Rua do Loureiro,101.873
2204210203,4921049895,0,False,Travessa do Loureiro,76.65
2204210205,2076734382,50,True,Rua Chã,54.366
2204210205,6304127328,0,False,Travessa da Rua Chã,69.318
2204210208,138231433,0,True,Largo Primeiro de Dezembro,57.228
2204210208,4554570493,0,False,NONE,11.229
2204210210,5849847818,0,False,Escadas do Codeçal,115.58300000000003
2204210210,2206247831,0,False,Escadas do Codeçal,61.755
2204210210,1143317790,0,False,"['Escadas das Verdades', 'Rua da Senhora das Verdades']",93.265
2375816260,2242805402,0,True,Rua do Estêvão,79.81099999999999
2375816260,3392939480,0,False,Travessa das Liceiras,53.396
4529953561,2214758559,0,False,NONE,4.096
4529953562,4529953563,0,False,NONE,2.4
4529953563,4529953564,0,False,NONE,2.956
4529953563,4529953562,0,False,NONE,2.4
4529953563,1684844050,0,True,Rua de São Filipe de Nery,32.11
2204210289,2206247831,0,False,Escadas do Codeçal,44.96
2204210289,3392939428,0,False,Escadas do Codeçal,42.251
2204210289,4554496470,0,False,NONE,31.807000000000002
4529953567,4529953566,0,False,NONE,4.783
4529953567,6537301935,0,False,NONE,34.695
4529953567,7134805725,0,False,NONE,101.694
2204210316,3387597091,0,True,Rua do Cativo,18.604
2204210316,3387597068,0,False,Rua da Porta do Sol,124.12400000000001
2204210341,1684843562,0,False,Avenida de Vímara Peres,42.981
2204210341,4554496470,0,False,NONE,6.439
2204210341,3398946395,0,False,NONE,59.577000000000005
5336503462,5336503464,0,False,NONE,79.218
5336503462,2397188710,0,False,NONE,69.914
5336503462,5336503466,0,False,NONE,19.689
5336503464,5336503462,0,False,NONE,79.218
5336503464,475073423,0,False,NONE,24.508
5336503464,5336503466,0,False,NONE,98.521
5336503466,5336503462,0,False,NONE,19.689
