source,target,oneway,maxspeed,length,osmid,name
1352663645,409771176,False,0,91.357,118153961,"Rua de ""A Renascença Portuguesa"""
1352663645,409771021,False,0,48.172,164088398,Rua da Vigorosa
1352663645,1352663666,True,0,119.501,27292798,Rua da Vigorosa
1352663645,343634513,False,0,204.534,35043633,Rua Maria Adelaide Freitas Gonçalves
497320541,429432820,False,0,30.826,251257491,Avenida do Doutor Antunes Guimarães
497320541,497320580,False,0,66.128,40870106,Rua da Cidade de Mindelo
497320541,500009820,False,0,210.77100000000002,251257491,Avenida do Doutor Antunes Guimarães
1352663646,1352647054,True,0,57.224000000000004,549269428,Avenida de Fernão de Magalhães
1766376032,493669426,False,0,14.225,28394183,Rua Amadeu de Souza Cardoso
1766376032,314044811,True,0,204.4,40643208,Rua de Henrique Lopes de Mendonça
1766376032,4581547016,False,0,75.33,28394183,Rua Amadeu de Souza Cardoso
497320546,497320557,False,0,181.636,40870105,Rua da Cidade da Beira
497320546,428217648,True,0,72.238,309137442,Rua da Vilarinha
1352663651,1352663678,True,0,82.828,"[549444954, 434878390]",Avenida de Fernão de Magalhães
1352663653,1842003093,True,0,47.54,448850571,Avenida de Fernão de Magalhães
1352663653,5284498223,True,0,82.02799999999999,448850572,Rua de Santo António das Antas
1352663655,1352647022,True,0,123.56899999999999,"[480146200, 159959889, 480146202, 480146204]",Avenida de Fernão de Magalhães
1352663656,6249234969,True,0,31.857,549444947,Avenida de Fernão de Magalhães
1352663656,1334148418,True,0,39.014,118670828,NONE
497320557,4440997257,False,0,79.918,40870105,Rua da Cidade da Beira
497320557,497320546,False,0,181.636,40870105,Rua da Cidade da Beira
497320557,1788788647,False,0,90.06200000000001,40870106,Rua da Cidade de Mindelo
1352663664,1352663651,True,0,59.022,480146205,Avenida de Fernão de Magalhães
420774512,3170300793,False,50,23.103,35997529,Rua de São Tomé
420774512,444004645,False,50,96.621,35997529,Rua de São Tomé
420774512,2060757099,True,0,22.517,195652243,Praça da Ilha Brava
1352663666,1352663678,True,0,9.13,765586391,Rua da Vigorosa
1352663666,1352663673,True,0,22.741,549444981,Avenida de Fernão de Magalhães
1352663667,1352663630,True,0,26.506,549444986,Avenida de Fernão de Magalhães
